DIM, stride, running time, Nacc, Tcost
1000, 1,1.670100e-02, 2.000000e+07, 8.350500e-10
1000, 2,9.617000e-03, 1.001000e+07, 9.607393e-10
1000, 3,6.786000e-03, 6.680000e+06, 1.015868e-09
1000, 4,5.224000e-03, 5.010000e+06, 1.042715e-09
1000, 5,4.275000e-03, 4.010000e+06, 1.066085e-09
1000, 6,3.701000e-03, 3.350000e+06, 1.104776e-09
1000, 7,3.214000e-03, 2.870000e+06, 1.119861e-09
1000, 8,2.695000e-03, 2.510000e+06, 1.073705e-09
1000, 9,2.501000e-03, 2.240000e+06, 1.116518e-09
1000, 10,1.597000e-03, 2.010000e+06, 7.945274e-10
1000, 11,1.364000e-03, 1.830000e+06, 7.453552e-10
1000, 12,1.379000e-03, 1.680000e+06, 8.208333e-10
10000, 1,1.571950e-01, 2.000000e+08, 7.859750e-10
10000, 2,1.132450e-01, 1.000100e+08, 1.132337e-09
10000, 3,5.225000e-02, 6.668000e+07, 7.835933e-10
10000, 4,3.908800e-02, 5.001000e+07, 7.816037e-10
10000, 5,3.290800e-02, 4.001000e+07, 8.224944e-10
10000, 6,3.165500e-02, 3.335000e+07, 9.491754e-10
10000, 7,2.380200e-02, 2.858000e+07, 8.328202e-10
10000, 8,2.134900e-02, 2.501000e+07, 8.536186e-10
10000, 9,1.915400e-02, 2.224000e+07, 8.612410e-10
10000, 10,1.751600e-02, 2.001000e+07, 8.753623e-10
10000, 11,1.626000e-02, 1.820000e+07, 8.934066e-10
10000, 12,1.472500e-02, 1.668000e+07, 8.827938e-10
100000, 1,1.725346e+00, 2.000000e+09, 8.626730e-10
100000, 2,1.005692e+00, 1.000010e+09, 1.005682e-09
100000, 3,5.969850e-01, 6.666800e+08, 8.954596e-10
100000, 4,4.517280e-01, 5.000100e+08, 9.034379e-10
100000, 5,3.759830e-01, 4.000100e+08, 9.399340e-10
100000, 6,3.074530e-01, 3.333500e+08, 9.223129e-10
100000, 7,3.161460e-01, 2.857300e+08, 1.106450e-09
100000, 8,2.505900e-01, 2.500100e+08, 1.002320e-09
100000, 9,2.319700e-01, 2.222400e+08, 1.043781e-09
100000, 10,2.029860e-01, 2.000100e+08, 1.014879e-09
100000, 11,2.026410e-01, 1.818300e+08, 1.114453e-09
100000, 12,1.872080e-01, 1.666800e+08, 1.123158e-09
