DIM, stride, running time, Nops, Nflops

10000, 1,2.908870e-01, 4.000000e+08, 1.375104e+09
10000, 2,1.434370e-01, 2.000200e+08, 1.394480e+09
10000, 3,9.566100e-02, 1.333600e+08, 1.394090e+09
10000, 4,7.144300e-02, 1.000200e+08, 1.399997e+09
10000, 5,5.722100e-02, 8.002000e+07, 1.398438e+09
10000, 6,4.783000e-02, 6.670000e+07, 1.394522e+09
10000, 7,4.089600e-02, 5.716000e+07, 1.397692e+09
10000, 8,3.610100e-02, 5.002000e+07, 1.385557e+09
10000, 9,3.169900e-02, 4.448000e+07, 1.403199e+09
10000, 10,2.945800e-02, 4.002000e+07, 1.358544e+09
10000, 11,3.096600e-02, 3.640000e+07, 1.175483e+09
10000, 12,3.338500e-02, 3.336000e+07, 9.992512e+08
10000, 13,2.583800e-02, 3.080000e+07, 1.192043e+09
10000, 14,2.319100e-02, 2.860000e+07, 1.233237e+09
10000, 15,2.121500e-02, 2.670000e+07, 1.258543e+09
10000, 16,1.914700e-02, 2.502000e+07, 1.306732e+09
100000, 1,2.880863e+00, 4.000000e+09, 1.388473e+09
100000, 2,1.421434e+00, 2.000020e+09, 1.407044e+09
100000, 3,9.552140e-01, 1.333360e+09, 1.395876e+09
100000, 4,7.146670e-01, 1.000020e+09, 1.399281e+09
100000, 5,5.762730e-01, 8.000200e+08, 1.388266e+09
100000, 6,4.865910e-01, 6.667000e+08, 1.370145e+09
100000, 7,4.131600e-01, 5.714600e+08, 1.383145e+09
100000, 8,3.633180e-01, 5.000200e+08, 1.376260e+09
100000, 9,3.222350e-01, 4.444800e+08, 1.379366e+09
100000, 10,2.888170e-01, 4.000200e+08, 1.385029e+09
100000, 11,2.698680e-01, 3.636600e+08, 1.347548e+09
100000, 12,2.434740e-01, 3.333600e+08, 1.369181e+09
100000, 13,2.291560e-01, 3.077200e+08, 1.342841e+09
100000, 14,2.126020e-01, 2.857400e+08, 1.344014e+09
100000, 15,2.069390e-01, 2.667000e+08, 1.288786e+09
100000, 16,1.838880e-01, 2.500200e+08, 1.359632e+09

10000, 1,7.650400e-02, 4.000000e+08, 5.228485e+09
10000, 2,3.800500e-02, 2.000200e+08, 5.262992e+09
10000, 3,2.533200e-02, 1.333600e+08, 5.264488e+09
10000, 4,1.902900e-02, 1.000200e+08, 5.256188e+09
10000, 5,1.509400e-02, 8.002000e+07, 5.301444e+09
10000, 6,1.270400e-02, 6.670000e+07, 5.250315e+09
10000, 7,1.270300e-02, 5.716000e+07, 4.499724e+09
10000, 8,1.270400e-02, 5.002000e+07, 3.937343e+09
10000, 9,1.257600e-02, 4.448000e+07, 3.536896e+09
10000, 10,1.030200e-02, 4.002000e+07, 3.884683e+09
10000, 11,9.273000e-03, 3.640000e+07, 3.925375e+09
10000, 12,8.708000e-03, 3.336000e+07, 3.830960e+09
10000, 13,7.906000e-03, 3.080000e+07, 3.895775e+09
10000, 14,7.691000e-03, 2.860000e+07, 3.718632e+09
10000, 15,6.834000e-03, 2.670000e+07, 3.906936e+09
10000, 16,6.350000e-03, 2.502000e+07, 3.940157e+09
100000, 1,7.649240e-01, 4.000000e+09, 5.229278e+09
100000, 2,3.832980e-01, 2.000020e+09, 5.217924e+09
100000, 3,2.569780e-01, 1.333360e+09, 5.188615e+09
100000, 4,2.006320e-01, 1.000020e+09, 4.984349e+09
100000, 5,1.675820e-01, 8.000200e+08, 4.773902e+09
100000, 6,1.730920e-01, 6.667000e+08, 3.851709e+09
100000, 7,1.715300e-01, 5.714600e+08, 3.331546e+09
100000, 8,1.715060e-01, 5.000200e+08, 2.915467e+09
100000, 9,1.600390e-01, 4.444800e+08, 2.777323e+09
100000, 10,1.434270e-01, 4.000200e+08, 2.789015e+09
100000, 11,1.331250e-01, 3.636600e+08, 2.731718e+09
100000, 12,1.265450e-01, 3.333600e+08, 2.634320e+09
100000, 13,1.219920e-01, 3.077200e+08, 2.522460e+09
100000, 14,1.155320e-01, 2.857400e+08, 2.473254e+09
100000, 15,1.102530e-01, 2.667000e+08, 2.418982e+09
100000, 16,1.080680e-01, 2.500200e+08, 2.313543e+09
