DIM, stride, running time, Nacc, Tcost
1000, 1,5.113000e-03, 2.000000e+07, 2.556500e-10
1000, 2,2.721000e-03, 1.001000e+07, 2.718282e-10
1000, 3,1.752000e-03, 6.680000e+06, 2.622754e-10
1000, 4,1.286000e-03, 5.010000e+06, 2.566866e-10
1000, 5,1.477000e-03, 4.010000e+06, 3.683292e-10
1000, 6,9.660000e-04, 3.350000e+06, 2.883582e-10
1000, 7,7.830000e-04, 2.870000e+06, 2.728223e-10
1000, 8,6.690000e-04, 2.510000e+06, 2.665339e-10
1000, 9,6.400000e-04, 2.240000e+06, 2.857143e-10
1000, 10,5.690000e-04, 2.010000e+06, 2.830846e-10
1000, 11,4.800000e-04, 1.830000e+06, 2.622951e-10
1000, 12,4.280000e-04, 1.680000e+06, 2.547619e-10
10000, 1,5.250200e-02, 2.000000e+08, 2.625100e-10
10000, 2,2.535100e-02, 1.000100e+08, 2.534847e-10
10000, 3,1.699300e-02, 6.668000e+07, 2.548440e-10
10000, 4,1.325600e-02, 5.001000e+07, 2.650670e-10
10000, 5,1.273000e-02, 4.001000e+07, 3.181705e-10
10000, 6,1.302400e-02, 3.335000e+07, 3.905247e-10
10000, 7,1.260400e-02, 2.858000e+07, 4.410077e-10
10000, 8,1.355000e-02, 2.501000e+07, 5.417833e-10
10000, 9,1.136200e-02, 2.224000e+07, 5.108813e-10
10000, 10,1.017600e-02, 2.001000e+07, 5.085457e-10
10000, 11,9.254000e-03, 1.820000e+07, 5.084615e-10
10000, 12,8.522000e-03, 1.668000e+07, 5.109113e-10
100000, 1,5.163410e-01, 2.000000e+09, 2.581705e-10
100000, 2,2.601840e-01, 1.000010e+09, 2.601814e-10
100000, 3,1.830990e-01, 6.666800e+08, 2.746430e-10
100000, 4,1.691500e-01, 5.000100e+08, 3.382932e-10
100000, 5,1.756960e-01, 4.000100e+08, 4.392290e-10
100000, 6,1.745700e-01, 3.333500e+08, 5.236838e-10
100000, 7,1.724990e-01, 2.857300e+08, 6.037133e-10
100000, 8,1.710330e-01, 2.500100e+08, 6.841046e-10
100000, 9,1.594210e-01, 2.222400e+08, 7.173371e-10
100000, 10,1.529030e-01, 2.000100e+08, 7.644768e-10
100000, 11,1.415750e-01, 1.818300e+08, 7.786119e-10
100000, 12,1.279480e-01, 1.666800e+08, 7.676266e-10
